8,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
isolateId,popprId,C3,,C5,,C8,,C4,,O91,,AT4,,SCAAT3,,OO9,
2013_OCP_SA_T54_Floor_05,Sc_2013_Tank surface swab__N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_SA_T54_Floor_07,Sc_2013_Tank surface swab__N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_SA_T54_Floor_08,Sc_2013_Tank surface swab__N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_SA_T54_Floor_09,Sc_2013_Tank surface swab__N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_SA_T54_Floor_10,Sc_2013_Tank surface swab__N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_SA_T54_Floor_03,Sc_2013_Tank surface swab__N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_W12_236_01,Sc_2013_W_12_E,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_W10_236_01,Sc_2013_W_10_E,121,124,137,137,146,146,249,249,280,292,289,293,425,425,420,446
2013_OCP_W12_236_02,Sc_2013_W_12_E,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_W11_236_02,Sc_2013_W_11_E,121,135,157,157,146,149,256,258,244,250,275,295,403,403,423,452
2013_OCP_W12_236_03,Sc_2013_W_12_E,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_W10_236_03,Sc_2013_W_10_E,121,124,137,137,146,146,249,249,280,292,289,293,425,425,420,446
2013_OCP_W11_236_03,Sc_2013_W_11_E,121,135,157,157,146,149,256,258,244,250,275,295,403,403,423,452
2013_OCP_W11_236_04,Sc_2013_W_11_E,115,115,141,141,149,149,261,261,289,289,279,279,385,385,446,446
2013_OCP_W12_236_04,Sc_2013_W_12_E,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_W10_236_04,Sc_2013_W_10_E,121,135,157,157,146,149,256,258,244,250,275,295,403,403,423,452
2013_OCP_W12_236_05,Sc_2013_W_12_E,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_W12_236_06,Sc_2013_W_12_E,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_W10_236_06,Sc_2013_W_10_E,124,124,151,151,146,146,260,260,259,259,293,293,382,382,452,452
2013_OCP_W12_236_07,Sc_2013_W_12_E,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
2013_OCP_W10_236_07,Sc_2013_W_10_E,121,121,151,163,146,149,261,261,301,317,293,293,380,403,420,452
2013_OCP_W11_236_08,Sc_2013_W_11_E,121,121,122,122,146,149,256,256,295,295,279,279,400,400,452,452
2013_OCP_W12_236_08,Sc_2013_W_12_E,121,121,151,163,146,149,261,261,301,317,293,293,380,403,420,452
2013_OCP_W11_236_09,Sc_2013_W_11_E,121,121,151,163,146,149,261,261,301,317,293,293,380,403,420,452
2013_OCP_W12_236_10,Sc_2013_W_12_E,121,124,137,137,146,146,249,249,280,292,289,293,425,425,420,446
2013_OCP_W12_236_11,Sc_2013_W_12_E,115,115,122,137,139,153,253,261,283,298,293,297,403,403,446,449
